name,day,x_au,y_au,z_au
433 Eros,0.0,0.5658909726820318,1.0964123914352502,0.2075891422957715
433 Eros,3.231332409011234,0.5153731977197054,1.1120921316943466,0.20129709714351843
433 Eros,6.462664818022468,0.46402492285814567,1.1259790640931568,0.19468059314778657
433 Eros,9.693997227033702,0.4119127735987454,1.1380116140244954,0.1877435207345773
433 Eros,12.925329636044935,0.3591082452331613,1.1481303909050224,0.18049077518401366
433 Eros,16.15666204505617,0.3056877038236035,1.1562786396863307,0.17292830545080307
433 Eros,19.387994454067403,0.2517323432000681,1.1624027132168906,0.16506315828253748
433 Eros,22.619326863078637,0.19732809330688322,1.1664525611295697,0.15690351643212413
433 Eros,25.85065927208987,0.14256547560537758,1.1683822299731497,0.148458729716734
433 Eros,29.081991681101105,0.08753940179989927,1.1681503683514627,0.1397393376612895
433 Eros,32.31332409011234,0.0323489129122001,1.1657207299177876,0.13075708248552093
433 Eros,35.544656499123576,-0.022903143311227114,1.1610626662378742,0.1215249112553162
433 Eros,38.775988908134806,-0.0781104975188357,1.1541516008292028,0.11205696612558434
433 Eros,42.00732131714604,-0.1331639059255268,1.1449694751554051,0.10236856175583631
433 Eros,45.238653726157274,-0.1879516575747126,1.1335051570508121,0.09247614918172638
433 Eros,48.46998613516851,-0.24236013813388968,1.1197548020141685,0.08239726567407069
433 Eros,51.70131854417974,-0.2962744450141834,1.1037221580782257,0.07215047040681027
433 Eros,54.93265095319097,-0.34957904695865366,1.0854188055572351,0.0617552660795764
433 Eros,58.16398336220221,-0.402158479676173,1.0648643239068192,0.05123200698876733
433 Eros,61.39531577121345,-0.4538980676823801,1.0420863791923667,0.0406017944006598
433 Eros,64.62664818022468,-0.5046846613204138,1.017120727226461,0.029886360436526836
433 Eros,67.85798058923591,-0.5544073770401841,0.9900111292573182,0.019107942017307162
433 Eros,71.08931299824715,-0.6029583284729766,0.9608091791056163,0.008289146718231971
433 Eros,74.32064540725838,-0.6502333356894211,0.9295740427788297,-0.002547187362914001
433 Eros,77.55197781626961,-0.6961326002954009,0.8963721137520297,-0.013378135429538425
433 Eros,80.78331022528084,-0.7405613347021035,0.8612765891993304,-0.024180831089505535
433 Eros,84.01464263429207,-0.7834303349801447,0.8243669743992771,-0.03493261028607959
433 Eros,87.24597504330332,-0.824656488129468,0.7857285242361916,-0.04561115164626079
433 Eros,90.47730745231455,-0.8641632063028846,0.7454516321071468,-0.05619461095624319
433 Eros,93.70863986132578,-0.901880782434477,0.7036311775673397,-0.06666174766577024
433 Eros,96.93997227033702,-0.9377466637577039,0.6603658446729699,-0.07699204157697702
433 Eros,100.17130467934825,-0.9717056417624792,0.6157574231999843,-0.08716579817586653
433 Eros,103.40263708835948,-1.0037099591489897,0.5699101047407551,-0.09716424140092239
433 Eros,106.63396949737071,-1.033719336209986,0.5229297851402452,-0.1069695929977134
433 Eros,109.86530190638194,-1.061700920746903,0.4749233838758794,-0.11656513796519635
433 Eros,113.09663431539319,-1.087629167048066,0.4259981898706381,-0.12593527594439188
433 Eros,116.32796672440442,-1.1114856505961521,0.37626124192337673,-0.13506555872077897
433 Eros,119.55929913341565,-1.133258826011094,0.325818750512964,-0.14394271429817218
433 Eros,122.7906315424269,-1.1529437362739121,0.274775566250459,-0.1525546582468342
433 Eros,126.02196395143812,-1.1705416815308096,0.22323469877744417,-0.16089049322778584
433 Eros,129.25329636044935,-1.1860598557707824,0.17129688849194696,-0.16894049774700992
433 Eros,132.48462876946058,-1.199510959437767,0.11906023216892647,-0.17669610529822835
433 Eros,135.71596117847182,-1.2109127956187928,0.0666198623622084,-0.18414987511383693
433 Eros,138.94729358748305,-1.2202878568837001,0.014067679450450954,-0.19129545576456647
433 Eros,142.1786259964943,-1.2276629091803766,-0.03850786566755904,-0.19812754283472414
433 Eros,145.40995840550553,-1.2330685784504074,-0.09102194091073401,-0.20464183185722357
433 Eros,148.64129081451676,-1.2365389448579256,-0.14339345759214528,-0.210834967626989
433 Eros,151.872623223528,-1.2381111487488765,-0.19554515380840964,-0.2167044909285274
433 Eros,155.10395563253923,-1.2378250117032499,-0.24740364044551144,-0.22224878361892392
433 Eros,158.33528804155046,-1.2357226753279718,-0.29889941371119527,-0.22746701290605992
433 Eros,161.5666204505617,-1.2318482597770815,-0.34996683810653956,-0.23235907555766602
433 Eros,164.79795285957292,-1.22624754338768,-0.40054410366609366,-0.23692554267334331
433 Eros,168.02928526858415,-1.21896766429016,-0.45057316114506607,-0.24116760555168362
433 Eros,171.2606176775954,-1.2100568443912323,-0.49999963862976093,-0.24508702309013308
433 Eros,174.49195008660664,-1.1995641357372846,-0.548772742809038,-0.24868607106777027
433 Eros,177.72328249561787,-1.1875391889407598,-0.5968451478826777,-0.2519674935816124
433 Eros,180.9546149046291,-1.1740320430890252,-0.6441728748083718,-0.2549344568359266
433 Eros,184.18594731364033,-1.1590929363482176,-0.6907151633117324,-0.25759050542142276
433 Eros,187.41727972265156,-1.142772136317876,-0.7364343388102021,-0.259939521166974
433 Eros,190.6486121316628,-1.1251197890795834,-0.7812956761380012,-0.26198568460028904
433 Eros,193.87994454067405,-1.1061857858083297,-0.8252672617089899,-0.26373343901521745
433 Eros,197.11127694968528,-1.0860196457729672,-0.8683198555206167,-0.26518745711148656
433 Eros,200.3426093586965,-1.0646704145365493,-0.9104267541866946,-0.26635261014698913
433 Eros,203.57394176770774,-1.0421865761735716,-0.9515636559903786,-0.2672339395225581
