x_au,y_au,z_au
-0.2195218390735686,0.9584826822482283,0.0
-0.2365954414841274,0.9544142429654962,0.0
-0.2535949003373652,0.9500467122005315,0.0
-0.2705148902788146,0.9453814656433165,0.0
-0.28735011243713554,0.9404199768592746,0.0
-0.30409529632966686,0.9351638167432346,0.0
-0.3207452017553624,0.9296146529325546,0.0
-0.3372946206741096,0.9237742491797463,0.0
-0.35373837907143646,0.9176444646849632,0.0
-0.37007133880762644,0.9112272533887628,0.0
-0.38628839945027443,0.9045246632255576,0.0
-0.40238450008932697,0.8975388353382163,0.0
-0.418354621133671,0.8902720032542945,0.0
-0.4341937860883436,0.8827264920243999,0.0
-0.4498970633114592,0.8749047173232315,0.0
-0.4654595677499606,0.8668091845138441,0.0
-0.4808764626533256,0.85844248767573,0.0
-0.49614296126437374,0.8498073085973177,0.0
-0.5112543284863421,0.8409064157335255,0.0
-0.5262058825254159,0.8317426631290168,0.0
-0.5409929965079232,0.8223189893078383,0.0
-0.555611100071426,0.8126384161301318,0.0
-0.5700556809289554,0.8027040476166414,0.0
-0.584322286405673,0.7925190687417464,0.0
-0.5984065249472532,0.7820867441957774,0.0
-0.6123040675993137,0.7714104171173873,0.0
-0.6260106494572385,0.7604935077967628,0.0
-0.6395220710857709,0.7493395123504839,0.0
-0.6528341999077729,0.7379520013688495,0.0
-0.665942971561577,0.7263346185365008,0.0
-0.6788443912263804,0.7144910792271901,0.0
-0.6915345349151611,0.7024251690735535,0.0
-0.7040095507346185,0.6901407425127561,0.0
-0.7162656601116709,0.6776417213088886,0.0
-0.7282991589860712,0.6649320930530047,0.0
-0.7401064189687204,0.6520159096416999,0.0
-0.7516838884653018,0.6388972857351264,0.0
-0.76302809376487,0.6255803971953666,0.0
-0.7741356400930678,0.6120694795060724,0.0
-0.7850032126296658,0.5983688261742938,0.0
-0.7956275774901511,0.5844827871154223,0.0
-0.8060055826711158,0.5704157670221716,0.0
-0.8161341589592247,0.5561722237185283,0.0
-0.82601032080357,0.5417566664995951,0.0
-0.8356311671512484,0.5271736544582627,0.0
-0.8449938822460175,0.5124277947996299,0.0
-0.8540957363899231,0.4975237411441028,0.0
-0.8629340866678117,0.48246619182009354,0.0
-0.8715063776346669,0.4672598881472344,0.0
-0.8798101419657364,0.4519096127110291,0.0
-0.8878430010694427,0.4364201876298395,0.0
-0.8956026656630952,0.4207964728151191,0.0
-0.9030869363114422,0.4050433642257869,0.0
-0.9102937039281329,0.38916579211762337,0.0
-0.9172209502401774,0.37316871928857864,0.0
-0.923866748215518,0.35705713932085437,0.0
-0.9302292624538484,0.340836074820624,0.0
-0.9363067495408409,0.3245105756562425,0.0
-0.9420975583659589,0.30808571719578115,0.0
-0.9476001304040597,0.29156659854471745,0.0
-0.9528129999610068,0.2749583407845973,0.0
-0.9577347943835393,0.2582660852134645,0.0
-0.962364234233653,0.24149499158885682,0.0
-0.9667001334277824,0.224650236374134,0.0
-0.9707413993410753,0.20773701098890682,0.0
-0.9744870328770823,0.19076052006430863,0.0
-0.9779361285031924,0.17372597970384154,0.0
-0.9810878742521653,0.15663861575051144,0.0
-0.9839415516901258,0.13950366206095874,0.0
-0.9864965358514016,0.12232635878725581,0.0
-0.9887522951406011,0.10511195066704998,0.0
-0.9907083912023352,0.08786568532269565,0.0
-0.9923644787590112,0.07059281157000957,0.0
-0.9937203054171265,0.05329857773726826,0.0
-0.9947757114425126,0.035988229995042614,0.0
-0.9955306295049847,0.018667010697449388,0.0
-0.9959850843928603,0.001340156735389203,0.0
-0.996139192697828,-0.015987102097690803,0.0
-0.9959931624706503,-0.03330954472697817,0.0
-0.9955472928481902,-0.05062196040391398,0.0
-0.9948019736522704,-0.06791915029975545,0.0
-0.9937576849608641,-0.08519592908461024,0.0
-0.9924149966521403,-0.10244712649148696,0.0
-0.9907745679218768,-0.11966758886492887,0.0
-0.9888371467747707,-0.13685218069380328,0.0
-0.986603569490174,-0.15399578612785592,0.0
-0.9840747600627864,-0.1710933104776371,0.0
-0.981251729618845,-0.18813968169744505,0.0
-0.9781355758083472,-0.2051298518509259,0.0
-0.974727482173849,-0.22205879855901386,0.0
-0.9710287174963835,-0.23892152642988185,-0.0
-0.9670406351190385,-0.25571306847062886,-0.0
-0.9627646722487417,-0.2724284874803979,-0.0
-0.9582023492367974,-0.2890628774246874,-0.0
-0.9533552688387139,-0.3056113647905926,-0.0
-0.9482251154538694,-0.32206910992275606,-0.0
-0.9428136543455532,-0.33843130833980956,-0.0
-0.9371227308419227,-0.35469319203111,-0.0
-0.9311542695184123,-0.37085003073358996,-0.0
-0.9249102733621268,-0.386897133188548,-0.0
-0.9183928229187521,-0.4028298483782329,-0.0
-0.9116040754225041,-0.41864356674208003,-0.0
-0.9045462639096432,-0.4343337213724774,-0.0
-0.8972216963160731,-0.44989578918994616,-0.0
-0.8896327545595273,-0.4653252920976472,-0.0
-0.8817818936068669,-0.4806177981151221,-0.0
-0.8736716405269749,-0.4957689224912022,-0.0
-0.8653045935297594,-0.5107743287960246,-0.0
-0.8566834209917431,-0.5256297299921121,-0.0
-0.8478108604687336,-0.5403308894844772,-0.0
-0.8386897176960446,-0.5548736221497328,-0.0
-0.8293228655767461,-0.5692537953441925,-0.0
-0.8197132431583992,-0.5834673298909612,-0.0
-0.8098638545987401,-0.5975102010460234,-0.0
-0.7997777681207585,-0.6113784394433484,-0.0
-0.7894581149576112,-0.6250681320190405,-0.0
-0.7789080882878079,-0.6385754229145674,-0.0
-0.7681309421610938,-0.6518965143591184,-0.0
-0.7571299904154443,-0.6650276675311421,-0.0
-0.7459086055855874,-0.6779652033991256,-0.0
-0.7344702178034501,-0.6907055035416859,-0.0
-0.722818313690924,-0.7032450109470512,-0.0
-0.7109564352453348,-0.7155802307920117,-0.0
-0.6988881787179935,-0.7277077312004337,-0.0
-0.6866171934861909,-0.7396241439814322,-0.0
-0.6741471809190073,-0.7513261653473002,-0.0
-0.6614818932372677,-0.7628105566113095,-0.0
-0.6486251323680098,-0.7740741448654828,-0.0
-0.6355807487937732,-0.7851138236384709,-0.0
-0.6223526403970511,-0.7959265535336392,-0.0
-0.6089447513002161,-0.8065093628474973,-0.0
-0.5953610707012231,-0.8168593481686033,-0.0
-0.5816056317053917,-0.8269736749570664,-0.0
-0.5676825101535627,-0.8368495781047888,-0.0
-0.5535958234468998,-0.8464843624765825,-0.0
-0.539349729368622,-0.8558754034323038,-0.0
-0.5249484249029222,-0.8650201473301423,-0.0
-0.5103961450513352,-0.8739161120112146,-0.0
-0.4956971616468019,-0.8825608872656033,-0.0
-0.48085578216566804,-0.8909521352799896,-0.0
-0.4658763485378574,-0.8990875910670282,-0.0
-0.4507632359554336,-0.906965062876611,-0.0
-0.4355208516797832,-0.9145824325891677,-0.0
-0.42015363384760984,-0.9219376560911531,-0.0
-0.40466605027596436,-0.9290287636328699,-0.0
-0.38906259726648695,-0.9358538601687726,-0.0
-0.37334779840905985,-0.942411125680403,-0.0
-0.3575262033850545,-0.9486988154820997,-0.0
-0.3416023867703267,-0.9547152605096353,-0.0
-0.32558094683816463,-0.9604588675919115,-0.0
-0.3094665043623092,-0.9659281197058699,-0.0
